time_us,in_ae,in_sc,in_di,in_gm,in_gy,in_as,in_e2t,in_dt,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F,out_DF
253424423,22,2.14285707,0,0,0.000215569977,2.07676959,1.02866721,0.0199999996,0.00292562996,180.584534,0.879999995,0.0123512493,1.20110047,0.167626247,0.000164662226,0.436953843,-0
253444415,22,2.14285707,0,0,0.000324815279,2.07676959,1.02866721,0.0199999996,0.00292562996,177.707199,0.879999995,0.0186105445,1.19087076,0.167626247,-0.0178023893,0.436377347,-0
253464407,22,2.14285707,0,0,0.000328717753,2.07676959,1.02866721,0.0199999996,0.00292562996,178.330597,0.879999995,0.0188341383,1.18939579,0.167626247,-0.00967482291,0.435958713,-0
253484399,22,2.14285707,0,0,0.00025844737,2.07676959,1.02866721,0.0199999996,0.00292562996,180.172501,0.879999995,0.0148079423,1.19409454,0.167626247,0.00434960751,0.43565467,-0
253504391,22,2.14285707,0,0,0.000240969006,2.07676959,1.02866721,0.0199999996,0.00292562996,180.098755,0.879999995,0.0138065061,1.19485855,0.167626247,0.00306886225,0.435433865,-0
253524383,22,2.14285707,0,0,0.000271226512,1.81345284,1.02866948,0.0199999996,0.00292562996,179.11937,0.879999995,0.0155401332,1.19202328,0.167626247,-0.0037284398,0.435272574,-0
253544375,22,2.14285707,0,0,0.000287221745,1.81345284,1.02866948,0.0199999996,0.00292562996,178.895981,0.879999995,0.0164565928,1.19043624,0.167626247,-0.00425885059,0.435156137,-0
253564367,22,2.14285707,0,0,0.000233725645,1.81345284,1.02866948,0.0199999996,0.00292562996,180.238586,0.879999995,0.013391492,1.19442284,0.167626247,0.00526516791,0.435071558,-0
253584359,22,2.14285707,0,0,0.000267110765,1.81345284,1.02866948,0.0199999996,0.00292562996,179.14505,0.879999995,0.0153043186,1.19161654,0.167626247,-0.00280237687,0.435010105,-0
253604351,22,2.14285707,0,0,0.000271730125,1.81345284,1.02866948,0.0199999996,0.00292562996,179.174774,0.879999995,0.0155689884,1.19112754,0.167626247,-0.00197144574,0.434965521,-0
253624343,22,2.14285707,0,0,0.000251469435,1.65633893,1.02867043,0.0199999996,0.00292562996,179.704483,0.879999995,0.0144081367,1.19263649,0.167626247,0.00184946146,0.434932709,-0
253644335,22,2.14285707,0,0,0.000384359388,1.65633893,1.02867043,0.0199999996,0.00292562996,176.691986,0.879999995,0.0220221691,1.18208206,0.167626247,-0.0176976658,0.434909165,-0
253664327,22,2.14285707,0,0,0.00033946312,1.65633893,1.02867043,0.0199999996,0.00292562996,178.714615,0.879999995,0.0194498021,1.18557811,0.167626247,-0.000950251182,0.434892088,-0
253684319,22,2.14285707,0,0,0.000338697573,1.65633893,1.02867043,0.0199999996,0.00292562996,178.777618,0.879999995,0.0194059405,1.18560386,0.167626247,-0.000333707692,0.43487969,-0
253704311,22,2.14285707,0,0,0.000340873841,1.65633893,1.02867043,0.0199999996,0.00292562996,178.742691,0.879999995,0.0195306316,1.18540704,0.167626247,-0.000477096968,0.43487069,-0
253725136,22,2.14285707,0,0,0.000237797853,1.53002536,1.02866983,0.0199999996,0.00292562996,181.000366,0.879999995,0.0136248125,1.19352448,0.167626247,0.0139884651,0.434864372,-0
253745128,22,2.14285707,0,0,0.000200242503,1.53002536,1.02866983,0.0199999996,0.00292562996,180.969315,0.879999995,0.0114730494,1.19647539,0.167626247,0.0107319206,0.434859663,-0
253765120,22,2.14285707,0,0,0.000175483525,1.53002536,1.02866983,0.0199999996,0.00292562996,180.857803,0.879999995,0.0100544645,1.19841993,0.167626247,0.00767567055,0.434856206,-0
253785112,22,2.14285707,0,0,0.000261003384,1.53002536,1.02866983,0.0199999996,0.00292562996,178.540115,0.879999995,0.0149543919,1.19166303,0.167626247,-0.0087416796,0.434853673,-0
253805104,22,2.14285707,0,0,0.000270809047,1.53002536,1.02866983,0.0199999996,0.00292562996,178.851578,0.879999995,0.015516215,1.19088399,0.167626247,-0.00484628417,0.434851855,-0
253825096,22,2.14285707,0,0,0.000275985105,1.81042123,1.02867937,0.0199999996,0.00292562996,179.029205,0.879999995,0.0158127807,1.19047165,0.167626247,-0.00265242113,0.43484655,-0
253845088,22,2.14285707,0,0,0.000324672088,1.81042123,1.02867937,0.0199999996,0.00292562996,178.132385,0.879999995,0.0186023396,1.18662632,0.167626247,-0.00777438888,0.434845567,-0
253865080,22,2.14285707,0,0,0.000275426544,1.81042123,1.02867937,0.0199999996,0.00292562996,179.666824,0.879999995,0.0157807786,1.19051123,0.167626247,0.00368580641,0.434844911,-0
253885072,22,2.14285707,0,0,0.000304705696,1.81042123,1.02867937,0.0199999996,0.00292562996,178.810013,0.879999995,0.0174583495,1.1881988,0.167626247,-0.00256933668,0.434844375,-0
253905064,22,2.14285707,0,0,0.000349542359,1.81042123,1.02867937,0.0199999996,0.00292562996,177.992157,0.879999995,0.0200273003,1.18465889,0.167626247,-0.00720753241,0.434843957,-0
253925056,21,2.14285707,0,0,0.000267683296,1.82514489,1.0286746,0.0199999996,0.00292562996,175.515381,0.839999974,0.0153371226,1.17603338,0.167626247,-0.0179401655,0.429434299,-0
253945048,21,2.14285707,0,0,0.000286205439,1.82514489,1.0286746,0.0199999996,0.00292562996,172.790207,0.839999974,0.0163983628,1.16361535,0.167626247,-0.0288437642,0.425504208,-0
253965040,21,2.14285707,0,0,0.000269054202,1.82514489,1.0286746,0.0199999996,0.00292562996,172.425446,0.839999974,0.0154156694,1.15701234,0.167626247,-0.023034187,0.422650069,-0
253985032,21,2.14285707,0,0,0.000244383235,1.82514489,1.0286746,0.0199999996,0.00292562996,172.550888,0.839999974,0.0140021276,1.15318131,0.167626247,-0.0158759262,0.420577347,-0
254005024,21,2.14285707,0,0,0.00025788811,1.82514489,1.0286746,0.0199999996,0.00292562996,171.909576,0.839999974,0.0147758992,1.14791906,0.167626247,-0.0155216958,0.419072092,-0
254025016,21,2.14285707,0,0,0.000261651352,1.85974157,1.02866757,0.0199999996,0.00292562996,171.815201,0.839999974,0.0149915172,1.14457464,0.167626247,-0.0120306695,0.417981833,-0
254045008,21,2.14285707,0,0,0.000323224813,1.85974157,1.02866757,0.0199999996,0.00292562996,170.516464,0.839999974,0.0185194165,1.13750172,0.167626247,-0.0171512552,0.417187959,-0
254065000,21,2.14285707,0,0,0.000224945368,1.85974157,1.02866757,0.0199999996,0.00292562996,173.179199,0.839999974,0.0128884194,1.14365137,0.167626247,0.0039029601,0.416611433,-0
254084992,21,2.14285707,0,0,0.000259167515,1.85974157,1.02866757,0.0199999996,0.00292562996,171.840179,0.839999974,0.0148492036,1.13978314,0.167626247,-0.00520038139,0.41619271,-0
254104984,21,2.14285707,0,0,0.000292758457,1.85974157,1.02866757,0.0199999996,0.00292562996,171.161392,0.839999974,0.0167738236,1.13628423,0.167626247,-0.00818525068,0.415888608,-0
254124976,21,2.14285707,0,0,0.000248725293,1.46832681,1.02868021,0.0199999996,0.00292562996,172.416473,0.839999974,0.014250909,1.13914406,0.167626247,0.00173177943,0.415662706,-0
254144968,21,2.14285707,0,0,0.00029558409,1.46832681,1.02868021,0.0199999996,0.00292562996,171.157669,0.839999974,0.0169357192,1.13499856,0.167626247,-0.00655038795,0.415502369,-0
254164960,21,2.14285707,0,0,0.000236410648,1.46832681,1.02868021,0.0199999996,0.00292562996,172.733551,0.839999974,0.0135453315,1.13934445,0.167626247,0.00497891894,0.415385872,-0
254184952,21,2.14285707,0,0,0.000291525386,1.46832681,1.02868021,0.0199999996,0.00292562996,171.166107,0.839999974,0.0167031735,1.13475847,0.167626247,-0.00602493202,0.415301353,-0
254204944,21,2.14285707,0,0,0.000249445671,1.46832681,1.02868021,0.0199999996,0.00292562996,172.387451,0.839999974,0.0142921833,1.13790858,0.167626247,0.00309982523,0.4152399,-0
254224936,21,2.14285707,0,0,0.000292963814,0.907385528,1.02868259,0.0199999996,0.00292562996,171.218948,0.839999974,0.01678559,1.13434947,0.167626247,-0.00498062279,0.415194392,-0
254244928,21,2.14285707,0,0,0.000227094395,0.907385528,1.02868259,0.0199999996,0.00292562996,172.918335,0.839999974,0.0130115496,1.13945794,0.167626247,0.0069371392,0.415161997,-0
254264920,21,2.14285707,0,0,0.000212027226,0.907385528,1.02868259,0.0199999996,0.00292562996,172.807495,0.839999974,0.0121482648,1.14058161,0.167626247,0.00472871447,0.415138483,-0
254284912,21,2.14285707,0,0,0.000216248445,0.907385528,1.02868259,0.0199999996,0.00292562996,172.416916,0.839999974,0.0123901227,1.14020097,0.167626247,0.00122044375,0.415121377,-0
254304904,21,2.14285707,0,0,0.000181717565,0.907385528,1.02868259,0.0199999996,0.00292562996,173.08136,0.839999974,0.010411649,1.14289176,0.167626247,0.00518661318,0.415108979,-0
254324896,21,2.14285707,0,0,0.000154440058,1.10300827,1.02867937,0.0199999996,0.00292562996,173.35321,0.839999974,0.00884876307,1.14501965,0.167626247,0.00578491809,0.41510129,-0
