time_us,in_ms,in_dr,in_gs,in_yr,in_rv,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F
98684677,98684,1.97333336,20.9566593,0.0138967484,0,0.00599176064,9,1.97333336,0.796225011,0.0911496952,0.00635359203,0.00112337398,0
98704669,98704,1.97333336,20.8738136,0.0137005225,0,0.00635359203,9,1.97333336,0.784982085,0.0915114507,0.00672178483,0.00113860483,0
98724661,98724,2.09333324,20.7902756,0.0136041697,0,0.00672178483,10,2.09333324,0.779461443,0.0974664018,0.00713214604,0.00126392918,0
98744653,98744,2.09333324,20.706131,0.0132699106,0,0.00713214604,10,2.09333324,0.760309815,0.0978624821,0.00755187962,0.00128756405,0
98764645,98764,2.09333324,20.6215115,0.0129147321,0,0.00755187962,10,2.09333324,0.739959598,0.0982640535,0.00798152573,0.00131258427,0
98784637,98784,2.09333324,20.5365543,0.0126097482,0,0.00798152573,10,2.09333324,0.722485304,0.0986705646,0.00842032675,0.00133503205,0
98804629,98804,2.09333324,20.4513626,0.012178909,0,0.00842032675,10,2.09333324,0.69780004,0.0990815833,0.00887075905,0.00136473367,0
98824621,98824,2.20000005,20.3661366,0.011782988,0,0.00887075905,11,2.20000005,0.675115466,0.10456609,0.00936706923,0.00149747054,0
98844613,98844,2.20000005,20.2809162,0.0113678211,0,0.00936706923,11,2.20000005,0.651328146,0.105005473,0.00987536646,0.00152722083,0
98864605,98864,2.20000005,20.1953678,0.0109674167,0,0.00987536646,11,2.20000005,0.628386676,0.10545028,0.0103955735,0.00155640976,0
98884597,98884,2.20000005,20.1100426,0.0105739906,0,0.0103955735,11,2.20000005,0.605844975,0.105897702,0.0109277284,0.00158543186,0
98904589,98904,2.20000005,20.0250683,0.0101749497,0,0.0109277284,11,2.20000005,0.582981646,0.106347062,0.0114721069,0.00161499425,0
98924581,98924,2.29333329,19.940506,0.00981471594,0,0.0114721069,12,2.29333329,0.56234175,0.11132887,0.0120598078,0.00173615618,0
98944573,98944,2.29333329,19.8563976,0.00936113484,0,0.0120598078,12,2.29333329,0.536353469,0.111800447,0.0126613965,0.00176968647,0
98964565,98964,2.29333329,19.7728462,0.00915309507,0,0.0126613965,12,2.29333329,0.524433672,0.112272859,0.0132721961,0.00178922096,0
98984557,98984,2.29333329,19.6899452,0.00894337147,0,0.0132721961,12,2.29333329,0.512417436,0.112745568,0.013892334,0.00180895964,0
99004549,99004,2.29333329,19.6077271,0.00890721567,0,0.013892334,12,2.29333329,0.510345817,0.113218322,0.0145184109,0.00181865797,0
99024541,99024,2.41333318,19.5263081,0.00886244886,0,0.0145184109,13,2.41333318,0.50778091,0.119639322,0.0151931169,0.00195177936,0
99044533,99044,2.41333318,19.445734,0.00900901482,0,0.0151931169,13,2.41333318,0.516178489,0.120135054,0.0158704277,0.00195122964,0
99064525,99064,2.41333318,19.365839,0.00914426427,0,0.0158704277,13,2.41333318,0.523927748,0.120630667,0.0165505484,0.00195127667,0
