time_us,in_us,in_ms,in_la,in_ln,in_gx,in_gy,in_yw,in_ys,in_pt,in_e2,in_pa,in_po,in_na,in_no,in_dm,out_lad,out_nrc,out_nbr,out_ber,out_xte,out_tbc,out_l1d,out_xti,out_enu,out_exi
101705135,101705135,101705,-353630484,1491652979,12.417851448059082,-4.090080738067627,-0.32637560367584229,34131,-0.048322346061468124,1.028928279876709,-353650090,1491654820,-353592997,1491647277,0,0.54036778211593628,315,-0.25235223770141602,0.065828189253807068,-6.7635250091552734,35293,46.818138122558594,-5.1678995077963918e-05,0.065116614103317261,-5.1678995077963918e-05
101805095,101805095,101805,-353630372,1491652934,12.238193511962891,-3.9938044548034668,-0.32370632886886597,34146,-0.05697418749332428,1.0289294719696045,-353650090,1491654820,-353592883,1491647262,0,0.53987157344818115,315,-0.24864816665649414,0.066794559359550476,-6.4907341003417969,35297,46.099391937255859,-5.1678995077963918e-05,0.065828189253807068,-5.1678995077963918e-05
101905055,101905055,101905,-353630262,1491652890,12.076935768127441,-3.9072253704071045,-0.32102662324905396,34161,-0.066055081784725189,1.028928279876709,-353650090,1491654820,-353592772,1491647247,0,0.54282099008560181,317,-0.24478530883789062,0.068114504218101501,-6.2258186340332031,35300,45.454383850097656,-5.1678995077963918e-05,0.066794559359550476,-5.1678995077963918e-05
102005015,102005015,102005,-353630153,1491652846,11.927157402038574,-3.8249773979187012,-0.31817305088043213,34178,-0.073157407343387604,1.0289291143417358,-353650090,1491654820,-353592661,1491647233,0,0.54858911037445068,321,-0.240570068359375,0.069763049483299255,-5.9565963745117188,35304,44.853557586669922,-5.1678995077963918e-05,0.068114504218101501,-5.1678995077963918e-05
102104975,102104975,102104,-353630045,1491652803,11.792527198791504,-3.747035026550293,-0.31510093808174133,34195,-0.076601840555667877,1.0289294719696045,-353650090,1491654820,-353592551,1491647218,0,0.55389750003814697,324,-0.23635149002075195,0.071305736899375916,-5.6987380981445312,35307,44.309402465820312,-5.1678995077963918e-05,0.069763049483299255,-5.1678995077963918e-05
102204935,102204935,102204,-353629938,1491652762,11.666340827941895,-3.669560432434082,-0.31179019808769226,34214,-0.075804024934768677,1.0289130210876465,-353650090,1491654820,-353592442,1491647204,0,0.55650836229324341,325,-0.23225927352905273,0.072485506534576416,-5.45501708984375,35311,43.794921875,-5.1678995077963918e-05,0.071305736899375916,-5.1678995077963918e-05
102304895,102304895,102304,-353629832,1491652721,11.549384117126465,-3.5929133892059326,-0.30824866890907288,34234,-0.071264714002609253,1.028907299041748,-353650090,1491654820,-353592334,1491647190,0,0.55912101268768311,327,-0.22796344757080078,0.073637723922729492,-5.2105178833007812,35314,43.313259124755859,-5.1678995077963918e-05,0.072485506534576416,-5.1678995077963918e-05
102404855,102404855,102404,-353629728,1491652681,11.433961868286133,-3.5139696598052979,-0.30452990531921387,34256,-0.064227290451526642,1.0289027690887451,-353650090,1491654820,-353592229,1491647176,0,0.55873650312423706,326,-0.2237553596496582,0.07441035658121109,-4.9739017486572266,35317,42.834865570068359,-5.1678995077963918e-05,0.073637723922729492,-5.1678995077963918e-05
102504815,102504815,102504,-353629624,1491652642,11.32030200958252,-3.4339127540588379,-0.30073288083076477,34277,-0.056419707834720612,1.0288960933685303,-353650090,1491654820,-353592123,1491647162,0,0.55602288246154785,325,-0.21964263916015625,0.07487662136554718,-4.7458992004394531,35320,42.361873626708984,-5.1678995077963918e-05,0.07441035658121109,-5.1678995077963918e-05
102604775,102604775,102604,-353629521,1491652603,11.203243255615234,-3.3521366119384766,-0.29694616794586182,34299,-0.049606706947088242,1.0289055109024048,-353650090,1491654820,-353592018,1491647148,0,0.55258357524871826,322,-0.21545553207397461,0.075277559459209442,-4.517120361328125,35324,41.876033782958984,-5.1678995077963918e-05,0.07487662136554718,-5.1678995077963918e-05
102704735,102704735,102704,-353629420,1491652566,11.082056999206543,-3.2703359127044678,-0.2932049036026001,34321,-0.045292440801858902,1.0289015769958496,-353650090,1491654820,-353591915,1491647134,0,0.54648703336715698,319,-0.21161127090454102,0.07534576952457428,-4.3048591613769531,35326,41.376602172851562,-5.1678995077963918e-05,0.075277559459209442,-5.1678995077963918e-05
102804695,102804695,102804,-353629321,1491652530,10.959511756896973,-3.1900362968444824,-0.28955152630805969,34341,-0.044401910156011581,1.0288958549499512,-353650090,1491654820,-353591815,1491647121,0,0.54067295789718628,315,-0.20778846740722656,0.075459882616996765,-4.0973148345947266,35329,40.874607086181641,-5.1678995077963918e-05,0.07534576952457428,-5.1678995077963918e-05
102904655,102904655,102904,-353629223,1491652495,10.83841609954834,-3.1130239963531494,-0.28601786494255066,34362,-0.047112207859754562,1.0288850069046021,-353650090,1491654820,-353591715,1491647108,0,0.53546714782714844,312,-0.20404577255249023,0.075646407902240753,-3.8975963592529297,35332,40.381427764892578,-5.1678995077963918e-05,0.075459882616996765,-5.1678995077963918e-05
103004615,103004615,103004,-353629126,1491652461,10.721859931945801,-3.0402119159698486,-0.28259220719337463,34381,-0.052781008183956146,1.0288817882537842,-353650090,1491654820,-353591617,1491647095,0,0.53105747699737549,310,-0.20038700103759766,0.075912982225418091,-3.7065563201904297,35335,39.908512115478516,-5.1678995077963918e-05,0.075646407902240753,-5.1678995077963918e-05
103104575,103104575,103104,-353629030,1491652428,10.612298965454102,-2.9722323417663574,-0.2791934609413147,34401,-0.060103364288806915,1.0288759469985962,-353650090,1491654820,-353591519,1491647082,0,0.52784520387649536,308,-0.19677495956420898,0.076302789151668549,-3.5233573913574219,35337,39.464851379394531,-5.1678995077963918e-05,0.075912982225418091,-5.1678995077963918e-05
103204535,103204535,103204,-353628936,1491652395,10.511195182800293,-2.9083268642425537,-0.27572831511497498,34421,-0.067340731620788574,1.0288889408111572,-353650090,1491654820,-353591424,1491647069,0,0.52561402320861816,307,-0.19315624237060547,0.076779164373874664,-3.3390560150146484,35340,39.054691314697266,-0.000222813367145136,0.076302789151668549,-5.1678995077963918e-05
103304495,103304495,103304,-353628842,1491652363,10.419282913208008,-2.8476591110229492,-0.27213507890701294,34441,-0.072694703936576843,1.0288873910903931,-353650090,1491654820,-353591328,1491647057,0,0.52403730154037476,306,-0.1894993782043457,0.077291928231716156,-3.1601047515869141,35342,38.679729461669922,-0.00038632872747257352,0.076779164373874664,-0.000222813367145136
103404455,103404455,103404,-353628749,1491652332,10.335942268371582,-2.788780689239502,-0.26835927367210388,34463,-0.074664130806922913,1.028867244720459,-353650090,1491654820,-353591234,1491647044,0,0.52085822820663452,304,-0.18602705001831055,0.077511347830295563,-2.9930953979492188,35344,38.336463928222656,-0.00054257403826341033,0.077291928231716156,-0.00038632872747257352
103504415,103504415,103504,-353628656,1491652302,10.259932518005371,-2.7306046485900879,-0.26435026526451111,34486,-0.072406947612762451,1.0288665294647217,-353650090,1491654820,-353591139,1491647032,0,0.51685559749603271,302,-0.18255615234375,0.077556774020195007,-2.8314208984375,35346,38.019622802734375,-0.00069159769918769598,0.077511347830295563,-0.00054257403826341033
103604375,103604375,103604,-353628565,1491652272,10.187839508056641,-2.6716270446777344,-0.26011598110198975,34510,-0.065989799797534943,1.0288747549057007,-353650090,1491654820,-353591047,1491647020,0,0.51230525970458984,299,-0.1789698600769043,0.077492542564868927,-2.6686534881591797,35349,37.716079711914062,-0.00083317217649891973,0.077556774020195007,-0.00069159769918769598
103704335,103704335,103704,-353628474,1491652243,10.116162300109863,-2.610990047454834,-0.25571462512016296,34535,-0.05633820965886116,1.0288542509078979,-353650090,1491654820,-353590955,1491647007,0,0.50449979305267334,294,-0.1756591796875,0.076928935945034027,-2.5182018280029297,35351,37.412998199462891,-0.0009678365895524621,0.077492542564868927,-0.00083317217649891973
103805128,103805128,103805,-353628383,1491652214,10.040831565856934,-2.5479879379272461,-0.25124490261077881,34561,-0.045072730630636215,1.0288542509078979,-353650090,1491654820,-353590862,1491646995,0,0.49628233909606934,290,-0.1721949577331543,0.076321959495544434,-2.3640270233154297,35353,37.095726013183594,-0.0010953785385936499,0.076928935945034027,-0.0009678365895524621
103905088,103905088,103905,-353628292,1491652186,9.9624948501586914,-2.4836359024047852,-0.24677272140979767,34587,-0.034182045608758926,1.0288448333740234,-353650090,1491654820,-353590770,1491646983,0,0.48582124710083008,283,-0.16894006729125977,0.07537841796875,-2.2193107604980469,35355,36.767463684082031,-0.0012161250924691558,0.076321959495544434,-0.0010953785385936499
104005048,104005048,104005,-353628202,1491652158,9.8776969909667969,-2.4190235137939453,-0.2424502968788147,34611,-0.025856629014015198,1.0288547277450562,-353650090,1491654820,-353590679,1491646971,0,0.47583138942718506,277,-0.1656336784362793,0.074537009000778198,-2.0738334655761719,35357,36.417167663574219,-0.0013300343416631222,0.07537841796875,-0.0012161250924691558
