#frames
class,type,ok,motor,roll,pitch,yaw,throttle,order
5,5,1,3,0,3204448256,3204448256,1065353216,4
5,5,1,4,3204448256,1048563415,3204448256,1065353216,1
5,5,1,5,0,3204448256,1056964608,1065353216,3
5,6,1,0,3204448256,1048563415,1056964608,1065353216,2
5,6,1,1,1056964608,1048563415,3204448256,1065353216,5
5,6,1,2,1056964608,1048563415,1056964608,1065353216,6
5,6,1,3,0,3204448256,3204448256,1065353216,4
5,6,1,4,3204448256,1048563415,3204448256,1065353216,1
5,6,1,5,0,3204448256,1056964608,1065353216,3
5,7,1,0,3204448256,1048563415,1056964608,1065353216,2
5,7,1,1,1056964608,1048563415,3204448256,1065353216,5
5,7,1,2,1056964608,1048563415,1056964608,1065353216,6
5,7,1,3,0,3204448256,3204448256,1065353216,4
5,7,1,4,3204448256,1048563415,3204448256,1065353216,1
5,7,1,5,0,3204448256,1056964608,1065353216,3
5,8,1,0,3204448256,1048563415,1056964608,1065353216,2
5,8,1,1,1056964608,1048563415,3204448256,1065353216,5
5,8,1,2,1056964608,1048563415,1056964608,1065353216,6
5,8,1,3,0,3204448256,3204448256,1065353216,4
5,8,1,4,3204448256,1048563415,3204448256,1065353216,1
5,8,1,5,0,3204448256,1056964608,1065353216,3
5,9,1,0,3204448256,1048563415,1056964608,1065353216,2
5,9,1,1,1056964608,1048563415,3204448256,1065353216,5
5,9,1,2,1056964608,1048563415,1056964608,1065353216,6
5,9,1,3,0,3204448256,3204448256,1065353216,4
5,9,1,4,3204448256,1048563415,3204448256,1065353216,1
5,9,1,5,0,3204448256,1056964608,1065353216,3
5,10,1,0,3204448256,1048576000,3204448256,1065353216,1
5,10,1,1,3204448256,1048576000,1056964608,1065353216,2
5,10,1,2,0,3204448256,3204448256,1065353216,3
5,10,1,3,0,3204448256,1056964608,1065353216,4
5,10,1,4,1056964608,1048576000,3204448256,1065353216,5
5,10,1,5,1056964608,1048576000,1056964608,1065353216,6
5,11,1,0,0,3204448256,1056964608,1065353216,3
5,11,1,1,3204448256,1048576000,1056964608,1065353216,1
5,11,1,2,1056964608,1048576000,1056964608,1065353216,5
5,11,1,3,0,3204448256,3204448256,1065353216,4
5,11,1,4,3204448256,1048576000,3204448256,1065353216,2
5,11,1,5,1056964608,1048576000,3204448256,1065353216,6
5,12,1,0,3204448256,1048563415,1056964608,1065353216,2
5,12,1,1,1056964608,1048563415,3204448256,1065353216,5
5,12,1,2,1056964608,1048563415,1056964608,1065353216,6
5,12,1,3,0,3204448256,3204448256,1065353216,4
5,12,1,4,3204448256,1048563415,3204448256,1065353216,1
5,12,1,5,0,3204448256,1056964608,1065353216,3
5,13,1,0,3204448256,1048563415,1056964608,1065353216,2
5,13,1,1,1056964608,1048563415,3204448256,1065353216,5
5,13,1,2,1056964608,1048563415,1056964608,1065353216,6
5,13,1,3,0,3204448256,3204448256,1065353216,4
5,13,1,4,3204448256,1048563415,3204448256,1065353216,1
5,13,1,5,0,3204448256,1056964608,1065353216,3
5,14,1,0,3204448256,1048563415,1056964608,1065353216,2
5,14,1,1,1056964608,1048563415,3204448256,1065353216,5
5,14,1,2,1056964608,1048563415,1056964608,1065353216,6
5,14,1,3,0,3204448256,3204448256,1065353216,4
5,14,1,4,3204448256,1048563415,3204448256,1065353216,1
5,14,1,5,0,3204448256,1056964608,1065353216,3
5,15,1,0,3204448256,1048563415,1056964608,1065353216,2
