#motors
frame,motor,stage,roll,pitch,yaw,throttle,enabled,order
hexa_plus,28,norm,0,0,0,0,0,0
hexa_plus,29,norm,0,0,0,0,0,0
hexa_plus,30,norm,0,0,0,0,0,0
hexa_plus,31,norm,0,0,0,0,0,0
octa_x,0,raw,3200511764,1064076126,1065353216,1065353216,1,1
octa_x,1,raw,1053028117,3211559774,1065353216,1065353216,1,5
octa_x,2,raw,3211559774,1053028117,3212836864,1065353216,1,2
octa_x,3,raw,3200511770,3211559774,3212836864,1065353216,1,4
octa_x,4,raw,3211559774,3200511764,1065353216,1065353216,1,3
octa_x,5,raw,1053028117,1064076126,3212836864,1065353216,1,8
octa_x,6,raw,1064076126,1053028117,1065353216,1065353216,1,7
octa_x,7,raw,1064076126,3200511764,3212836864,1065353216,1,6
octa_x,8,raw,0,0,0,0,0,0
octa_x,9,raw,0,0,0,0,0,0
octa_x,10,raw,0,0,0,0,0,0
octa_x,11,raw,0,0,0,0,0,0
octa_x,12,raw,0,0,0,0,0,0
octa_x,13,raw,0,0,0,0,0,0
octa_x,14,raw,0,0,0,0,0,0
octa_x,15,raw,0,0,0,0,0,0
octa_x,16,raw,0,0,0,0,0,0
octa_x,17,raw,0,0,0,0,0,0
octa_x,18,raw,0,0,0,0,0,0
octa_x,19,raw,0,0,0,0,0,0
octa_x,20,raw,0,0,0,0,0,0
octa_x,21,raw,0,0,0,0,0,0
octa_x,22,raw,0,0,0,0,0,0
octa_x,23,raw,0,0,0,0,0,0
octa_x,24,raw,0,0,0,0,0,0
octa_x,25,raw,0,0,0,0,0,0
octa_x,26,raw,0,0,0,0,0,0
octa_x,27,raw,0,0,0,0,0,0
octa_x,28,raw,0,0,0,0,0,0
octa_x,29,raw,0,0,0,0,0,0
octa_x,30,raw,0,0,0,0,0,0
octa_x,31,raw,0,0,0,0,0,0
octa_x,0,norm,3193181132,1056964608,1056964608,1065353216,1,1
octa_x,1,norm,1045697485,3204448256,1056964608,1065353216,1,5
octa_x,2,norm,3204448256,1045697485,3204448256,1065353216,1,2
octa_x,3,norm,3193181138,3204448256,3204448256,1065353216,1,4
octa_x,4,norm,3204448256,3193181132,1056964608,1065353216,1,3
