time_us,in_us,in_ms,in_la,in_ln,in_gx,in_gy,in_yw,in_ys,in_pt,in_e2,in_pa,in_po,in_na,in_no,in_dm,out_lad,out_nrc,out_nbr,out_ber,out_xte,out_tbc,out_l1d,out_xti,out_enu,out_exi
207704385,207704385,207704,-353631869,1491627608,-31.301265716552734,5.8905959129333496,2.9698257446289062,17015,-0.11509151011705399,1.0317879915237427,-353631360,1491627500,-353654670,1491642150,0,-5.9625353813171387,-3146,2.6530418395996094,-0.30253612995147705,-1.7118515968322754,15252,114.05699920654297,7.4006966315209866e-05,-0.31177604198455811,0.00010401356121292338
207804345,207804345,207804,-353632148,1491627676,-31.199142456054688,6.4775905609130859,2.9711966514587402,17023,-0.11277610808610916,1.0317846536636353,-353631360,1491627500,-353654670,1491642150,0,-5.7534255981445312,-3055,2.6454017162322998,-0.29147869348526001,-2.5790691375732422,15234,114.10630035400391,2.8816524718422443e-05,-0.30253612995147705,7.4006966315209866e-05
207905138,207905138,207905,-353632427,1491627751,-31.115861892700195,7.0557785034179688,2.9684734344482422,17008,-0.10712035745382309,1.0317820310592651,-353631360,1491627500,-353654670,1491642150,0,-5.5464916229248047,-2963,2.6382739543914795,-0.28033152222633362,-3.3897356986999512,15217,114.25428009033203,-3.0528881325153634e-05,-0.29147869348526001,2.8816524718422443e-05
208005098,208005098,208005,-353632707,1491627833,-31.050113677978516,7.6476259231567383,2.9575607776641846,16945,-0.10002131015062332,1.0317623615264893,-353631360,1491627500,-353654670,1491642150,0,-5.3295416831970215,-2864,2.6316351890563965,-0.26846486330032349,-4.148928165435791,15200,114.51296997070312,-0.00010297790868207812,-0.28033152222633362,-3.0528881325153634e-05
208105058,208105058,208105,-353632987,1491627922,-30.992870330810547,8.2402439117431641,2.9423990249633789,16858,-0.093848675489425659,1.0317494869232178,-353631360,1491627500,-353654670,1491642150,0,-5.106083869934082,-2760,2.6255309581756592,-0.25619810819625854,-4.8515691757202148,15185,114.84082794189453,-0.00018746132263913751,-0.26846486330032349,-0.00010297790868207812
208205018,208205018,208205,-353633266,1491628017,-30.930233001708984,8.7835550308227539,2.9263763427734375,16766,-0.088843747973442078,1.0317366123199463,-353631360,1491627500,-353654670,1491642150,0,-4.9001421928405762,-2664,2.6199023723602295,-0.24499520659446716,-5.5006608963012695,15170,115.14028167724609,-0.00028300657868385315,-0.25619810819625854,-0.00018746132263913751
208304978,208304978,208304,-353633546,1491628118,-30.888277053833008,9.2002553939819336,2.910449743270874,16675,-0.088577732443809509,1.0317342281341553,-353631360,1491627500,-353654670,1491642150,0,-4.763361930847168,-2599,2.6146547794342041,-0.23744940757751465,-6.1063566207885742,15156,115.41282653808594,-0.00038883130764588714,-0.24499520659446716,-0.00028300657868385315
208404938,208404938,208404,-353633825,1491628223,-30.839599609375,9.5377597808837891,2.8955304622650146,16590,-0.092067189514636993,1.0317320823669434,-353631360,1491627500,-353654670,1491642150,0,-4.6625499725341797,-2552,2.6096999645233154,-0.23195341229438782,-6.6746616363525391,15142,115.59709167480469,-0.00050433084834367037,-0.23744940757751465,-0.00038883130764588714
208504898,208504898,208504,-353634105,1491628332,-30.791152954101562,9.788935661315918,2.884434700012207,16526,-0.098397135734558105,1.0317174196243286,-353631360,1491627500,-353654670,1491642150,0,-4.605217456817627,-2526,2.6049420833587646,-0.22884120047092438,-7.215726375579834,15128,115.70069885253906,-0.00062909279949963093,-0.23195341229438782,-0.00050433084834367037
208604858,208604858,208604,-353634383,1491628442,-30.735942840576172,9.9944381713867188,2.8736093044281006,16464,-0.10615511238574982,1.0317244529724121,-353631360,1491627500,-353654670,1491642150,0,-4.5683846473693848,-2510,2.6003015041351318,-0.22690477967262268,-7.7385616302490234,15114,115.73773193359375,-0.00076286494731903076,-0.22884120047092438,-0.00062909279949963093
208704818,208704818,208704,-353634662,1491628555,-30.669231414794922,10.221922874450684,2.8628716468811035,16403,-0.1124514639377594,1.0317201614379883,-353631360,1491627500,-353654670,1491642150,0,-4.5132060050964355,-2485,2.5958137512207031,-0.22406220436096191,-8.2422370910644531,15101,115.76557159423828,-0.00090532383183017373,-0.22690477967262268,-0.00076286494731903076
208804778,208804778,208804,-353634939,1491628671,-30.585044860839844,10.480890274047852,2.8534266948699951,16348,-0.11564957350492477,1.0317075252532959,-353631360,1491627500,-353654670,1491642150,0,-4.4301338195800781,-2445,2.5916059017181396,-0.21984770894050598,-8.7115201950073242,15088,115.77689361572266,-0.0010558939538896084,-0.22406220436096191,-0.00090532383183017373
