#notch
scenario,step,in,out_f,out_x,out_y,out_z
serviced,38,1048879818,1063099999,1063099999,1071488607,3210583647
serviced,39,1055075912,1062378082,1062378082,1070766690,3209861730
serviced,40,1061408664,1061734176,1061734176,1070122784,3209217824
serviced,41,1066092645,1061201733,1061201733,1069590341,3208685381
serviced,42,1067694027,1060763669,1060763669,1069152277,3208247317
serviced,43,1067488717,1060374563,1060374563,1068763171,3207858211
serviced,44,1065478543,1059992272,1059992272,1068380880,3207475920
serviced,45,1059373752,1059602843,1059602843,1067991451,3207086491
serviced,46,1049428890,1059228188,1059228188,1067616796,3206711836
serviced,47,1027167968,1058914219,1058914219,1067302827,3206397867
serviced,48,1024806400,1058707472,1058707472,1067096080,3206191120
serviced,49,1048515848,1058631451,1058631451,1067020059,3206115099
serviced,50,1058642343,1058674228,1058674228,1067062836,3206157876
serviced,51,1064588966,1058792556,1058792556,1067181164,3206276204
serviced,52,1066844034,1058930782,1058930782,1067319390,3206414430
serviced,53,1066917826,1059045564,1059045564,1067434172,3206529212
serviced,54,1065030413,1059125705,1059125705,1067514313,3206609353
serviced,55,1059373785,1059198339,1059198339,1067586947,3206681987
serviced,56,1050575720,1059318418,1059318418,1067707026,3206802066
serviced,57,1038617600,1059546398,1059546398,1067935006,3207030046
serviced,58,1041044944,1059922104,1059922104,1068310712,3207405752
serviced,59,1053032162,1060446956,1060446956,1068835564,3207930604
serviced,60,1061408656,1061080824,1061080824,1069469432,3208564472
serviced,61,1066603578,1061755618,1061755618,1070144226,3209239266
serviced,62,1068711363,1062400155,1062400155,1070788763,3209883803
serviced,63,1069003423,1062966534,1062966534,1071355142,3210450182
serviced,64,1067477167,1063447574,1063447574,1071836182,3210931222
serviced,65,1064303424,1063878362,1063878362,1072266970,3211362010
serviced,66,1059014984,1064320981,1064320981,1072709589,3211804629
serviced,67,1055016106,1064838903,1064838903,1073227511,3212322551
serviced,68,1056276738,1065411586,1065411586,1073800194,3212895234
serviced,69,1060900298,1065781341,1065781341,1074169949,3213264989
serviced,70,1086583962,1085345748,1085345748,1093734356,3232829396
serviced,71,1069644256,1051508068,1051508068,1059896676,3198991716
serviced,72,1071756536,1065614256,1065614256,1074002864,3213097904
serviced,73,1072026080,1070527661,1070527661,1078916269,3218011309
serviced,74,1070450477,1073164298,1073164298,1081552906,3220647946
serviced,75,1067725854,1073238793,1073238793,1081627401,3220722441
serviced,76,1064607198,1071397316,1071397316,1079785924,3218880964
serviced,77,1061330009,1068782756,1068782756,1077171364,3216266404
serviced,78,1061660366,1066531046,1066531046,1074919654,3214014694
serviced,79,1065474290,1065384800,1065384800,1073773408,3212868448
serviced,80,1068544439,1065528980,1065528980,1073917588,3213012628
serviced,81,1071586276,1066654317,1066654317,1075042925,3214137965
serviced,82,1073469028,1068175056,1068175056,1076563664,3215658704
serviced,83,1073493830,1069492576,1069492576,1077881184,3216976224
serviced,84,1071660464,1070204332,1070204332,1078592940,3217687980
