#declination
lat,lon,intensity,declination,inclination,covered
1096810496,1124073472,1053692460,3223225366,1097284827,1
1096810496,1124204544,1053580308,3223251816,1096931187,1
1096810496,1124335616,1053453969,3221938910,1096651316,1
1096810496,1124466688,1053327629,3220026534,1096371444,1
1096810496,1124597760,1053201291,3217400723,1096091570,1
1096810496,1124728832,1053074952,3214774911,1095811699,1
1096810496,1124859904,1052948612,3211461336,1095531828,1
1096810496,1124990976,1052827803,3201303912,1095535220,1
1096810496,1125122048,1052706994,1037560688,1095538612,1
1096810496,1125253120,1052586184,1058930066,1095542004,1
1096810496,1125384192,1052465375,1066434266,1095545396,1
1096810496,1125515264,1052344565,1070726891,1095548788,1
1096810496,1125646336,1052245566,1074671324,1095876142,1
1096810496,1125777408,1052146567,1077108290,1096203494,1
1096810496,1125908480,1052047568,1079545256,1096530848,1
1096810496,1126039552,1051948570,1081982222,1096858200,1
1096810496,1126170624,1051849571,1083274810,1097185554,1
1096810496,1126301696,1051783549,1084369973,1097822056,1
1096810496,1126432768,1051717527,1085465136,1098458557,1
1096810496,1126563840,1051651505,1086560299,1099001354,1
1096810496,1126694912,1051585483,1087655463,1099319605,1
1096810496,1126825984,1051519462,1088750625,1099637856,1
1096810496,1126957056,1051486645,1089397886,1100036567,1
1096810496,1127088128,1051453829,1090045146,1100435280,1
1096810496,1127219200,1051421013,1090605724,1100833991,1
1096810496,1127350272,1051388197,1090929354,1101232703,1
1096810496,1127481344,1051355381,1091252985,1101631416,0
1098907648,3274964992,1051433428,1091030321,1103345288,0
1098907648,3274833920,1051426087,1091144437,1103686384,1
1098907648,3274702848,1051418745,1091258552,1104027478,1
1098907648,3274571776,1051411403,1091372667,1104368573,1
1098907648,3274440704,1051404062,1091486782,1104709668,1
1098907648,3274309632,1051396720,1091600898,1105050764,1
1098907648,3274178560,1051402142,1091627047,1105293204,1
1098907648,3274047488,1051407565,1091653197,1105535645,1
1098907648,3273916416,1051412987,1091679346,1105778086,1
1098907648,3273785344,1051418409,1091705496,1106020526,1
1098907648,3273654272,1051423832,1091731645,1106262966,1
1098907648,3273523200,1051444730,1091805441,1106452140,1
1098907648,3273392128,1051465627,1091879237,1106641312,1
1098907648,3273261056,1051486525,1091953032,1106830484,1
1098907648,3273129984,1051507422,1092026828,1107019656,1
1098907648,3272998912,1051528320,1092100624,1107208828,1
1098907648,3272867840,1051571323,1092174929,1107351879,1
1098907648,3272736768,1051614327,1092249234,1107451215,1
1098907648,3272605696,1051657330,1092323539,1107550551,1
1098907648,3272474624,1051700334,1092397844,1107649888,1
1098907648,3272343552,1051743337,1092472149,1107749224,1
1098907648,3272212480,1051804728,1092434025,1107854711,1
1098907648,3272081408,1051866120,1092395902,1107960198,1
1098907648,3271950336,1051927511,1092357778,1108065686,1
1098907648,3271819264,1051988903,1092319654,1108171172,1
1098907648,3271688192,1052050293,1092281530,1108276660,1
1098907648,3271557120,1052117657,1092111320,1108380345,1
1098907648,3271294976,1052185021,1091941110,1108484030,1
1098907648,3271032832,1052252385,1091770901,1108587714,1
1098907648,3270770688,1052319749,1091600691,1108691399,1
1098907648,3270508544,1052387113,1091430481,1108795084,1
1098907648,3270246400,1052447967,1091117927,1108904480,1
1098907648,3269984256,1052508821,1090805373,1109013878,1
1098907648,3269722112,1052569676,1090466598,1109123274,1
1098907648,3269459968,1052630530,1089841490,1109232671,1
1098907648,3269197824,1052691384,1089216382,1109342068,1
1098907648,3268935680,1052731784,1088065055,1109455442,1
1098907648,3268673536,1052772183,1086913729,1109568818,1
1098907648,3268411392,1052812583,1085762403,1109682192,1
1098907648,3268149248,1052852982,1084611076,1109795566,1
1098907648,3267887104,1052893382,1083459750,1109908941,1
1098907648,3267624960,1052895220,1080963659,1109988269,1
1098907648,3267362816,1052897059,1077138250,1110067598,1
1098907648,3267100672,1052898898,1072883859,1110146927,1
1098907648,3266838528,1052900737,1065112868,1110226255,1
1098907648,3266576384,1052902576,1033292080,1110305584,1
1098907648,3266314240,1052855103,3213749373,1110293400,1
1098907648,3266052096,1052807630,3222446791,1110281216,1
1098907648,3265789952,1052760157,3227406160,1110269032,1
1098907648,3265527808,1052712684,3230989804,1110256848,1
1098907648,3265265664,1052665212,3233469488,1110244664,1
