time_us,in_h,in_dh,in_hin,in_hdem,in_dhdem,in_spdem,in_sp,in_dsp,in_pmin,in_pmax,in_dspdem,in_f,out_th,out_ph
223004929,43.5325584,-3.525738,39.8799973,39.6051979,-2.84067917,30.926342,29.7956848,-2.27232146,-0.34906584,0.261799395,-0.000973137037,4,0.274660051,-0.266853482
223104889,43.1415329,-4.16010857,39.8799973,39.6140594,-2.74907947,30.9256668,29.5886116,-3.02914143,-0.34906584,0.261799395,-0.00675471593,4,0.375900656,-0.290501773
223204849,42.6834564,-4.85281563,39.8799973,39.6226349,-2.66043353,30.9249077,29.3280716,-3.73534727,-0.34906584,0.261799395,-0.00759428553,4,0.479812026,-0.314360142
223304809,42.1550293,-5.42093325,39.8799973,39.6309357,-2.574646,30.9244938,29.052103,-3.68596959,-0.34906584,0.261799395,-0.00414060289,4,0.525950074,-0.338445157
223404769,41.5851822,-5.70369625,39.8799973,39.6389656,-2.49162555,30.9235954,28.8115883,-3.19916677,-0.34906584,0.261799395,-0.00898720697,4,0.349295616,-0.342884243
223504729,41.0101471,-5.63008976,39.8799973,39.6467361,-2.41128159,30.9230022,28.6054783,-2.94492173,-0.34906584,0.261799395,-0.00593422819,4,0.449255586,-0.343946725
223604689,40.4628143,-5.22465563,39.8799973,39.6542587,-2.3335278,30.9218044,28.3757572,-3.31720233,-0.34906584,0.261799395,-0.0119829429,4,0.549215555,-0.34906584
223704649,39.9724731,-4.59959841,39.8799973,39.6615372,-2.25828171,30.9212456,28.1253414,-3.41402125,-0.34906584,0.261799395,-0.00559076807,4,0.649175525,-0.34906584
223804609,39.5505829,-3.92589116,39.8799973,39.6685829,-2.18546176,30.9205227,27.908577,-2.86826515,-0.34906584,0.261799395,-0.00723174401,4,0.749135494,-0.341390997
223904569,39.1947708,-3.35268497,39.8799973,39.6753998,-2.11499023,30.9197216,27.7787647,-1.82926595,-0.34906584,0.261799395,-0.00801406987,4,0.849095464,-0.335724622
224004529,38.8871841,-2.9780724,39.8799973,39.6819992,-2.04679108,30.9194584,27.7433834,-0.585728943,-0.34906584,0.261799395,-0.00263319444,4,0.949055433,-0.310503483
224104489,38.604126,-2.85024691,39.8799973,39.6883812,-1.98079169,30.9187241,27.8047009,0.826354682,-0.34906584,0.261799395,-0.00734623056,4,1,-0.285337955
224204449,38.3211365,-2.93641639,39.8799973,39.694561,-1.91691971,30.7428074,27.9657001,2.27895427,-0.34906584,0.261799395,-1.20937717,4,0.969803154,-0.260317296
224304409,38.01894,-3.14479041,39.8799973,39.7005386,-1.85510767,30.8297272,28.1946945,3.15059423,-0.34906584,0.261799395,0.869546711,4,1,-0.235499859
224404369,37.6931801,-3.40179753,39.8799973,39.7063255,-1.79528809,30.7448025,28.4232025,3.43067241,-0.34906584,0.261799395,-0.849586844,4,0.968369365,-0.210881948
224504329,37.3395805,-3.6491437,39.8799973,39.7119255,-1.73739755,30.8303394,28.6502342,3.46450162,-0.34906584,0.261799395,0.855720878,4,1,-0.186459109
224605122,36.9628296,-3.85843325,39.8799973,39.7160339,-1.6813736,30.7463264,28.8565483,3.35773778,-0.34906584,0.261799395,-0.833520055,4,0.966572642,-0.162008822
224705082,36.5581284,-4.0001874,39.8799973,39.7226334,-1.62671912,30.830658,29.0598507,3.12298059,-0.34906584,0.261799395,0.843658984,4,1,-0.137930244
224805042,36.1481972,-4.01591539,39.8799973,39.7277069,-1.57426453,30.7475071,29.2465801,2.68496275,-0.34906584,0.261799395,-0.83184135,4,0.965723872,-0.114005394
224905002,35.7440033,-3.8730793,39.7700005,39.6758461,-1.54183447,30.8307991,29.4229317,2.25127268,-0.34906584,0.261799395,0.833248138,4,1,-0.0902239382
225104922,35.0352402,-2.96966195,38.6899986,38.8342552,-1.71544135,30.8307152,29.7437897,1.28021932,-0.34906584,0.261799395,0.824259579,4,1,-0.0430483371
225204882,34.7692032,-2.27911425,38.1299973,38.3236923,-1.82672501,30.7488422,29.8905525,0.759540439,-0.34906584,0.261799395,-0.819057047,4,0.961520195,-0.0458276309
225304842,34.58461,-1.52340519,37.5499992,37.8134804,-1.93442023,30.8304214,30.0406456,0.392559588,-0.34906584,0.261799395,0.816114426,4,1,-0.0691200718
225404802,34.4802513,-0.713381171,36.9699974,37.3035965,-2.03864408,30.750082,30.1828804,-0.0252144821,-0.34906584,0.261799395,-0.803715825,4,0.958044529,-0.0916286036
225504762,34.4591637,-0.0367077775,36.3800011,36.7940407,-2.1395061,30.8308525,30.3411522,-0.125865966,-0.34906584,0.261799395,0.80803138,4,1,-0.113146216
225604722,34.4964066,0.375519544,35.7999992,36.2848015,-2.23711514,30.7508869,30.517149,-0.150358796,-0.34906584,0.261799395,-0.799975932,4,0.971712112,-0.120771088
225704682,34.5604172,0.41993165,35.2099991,35.7758636,-2.3315773,30.8306332,30.7309284,0.297817051,-0.34906584,0.261799395,0.797782719,4,0.875025988,-0.11890085
225804642,34.6105156,0.113783382,34.6300011,35.2672272,-2.42299271,30.9097748,30.9658966,0.475682646,-0.34906584,0.261799395,0.791729152,4,0.776093423,-0.118557043
225904602,34.6155624,-0.408717811,34.0499992,34.7588692,-2.51146197,30.912569,31.1689548,0.211251974,-0.34906584,0.261799395,0.0279538389,4,0.674702108,-0.123699673
226004562,34.561554,-1.02488518,33.4699974,34.2507896,-2.59707761,30.9121189,31.2912903,-0.483789384,-0.34906584,0.261799395,-0.00450314395,4,0.572166324,-0.142201662
226104522,34.444046,-1.60015893,32.8899994,33.7429733,-2.67993283,30.912344,31.3161736,-1.37799251,-0.34906584,0.261799395,0.00225157198,4,0.469461858,-0.164545387
226204482,34.2716789,-2.11242485,32.3099976,33.235424,-2.76011539,30.9121304,31.2399139,-2.4125154,-0.34906584,0.261799395,-0.00213708542,4,0.367276967,-0.18694365
226304442,34.0480919,-2.61508465,31.7399998,32.7281189,-2.83771396,30.9117393,31.0757275,-3.30593824,-0.34906584,0.261799395,-0.00391162932,4,0.266206831,-0.209460258
226404402,33.773056,-3.11239386,31.1799984,32.2210541,-2.91281009,30.9117146,30.8278942,-4.1943388,-0.34906584,0.261799395,-0.000248054537,4,0.217057794,-0.232157886
