name,key,idx,group_element,type,default
CAM2_RELAY_ON,90,0,397,1,1
CAM2_INTRVAL_MIN,90,0,461,4,0
CAM2_FEEDBAK_PIN,90,0,525,1,-1
CAM2_FEEDBAK_POL,90,0,589,1,1
CAM2_OPTIONS,90,0,653,1,0
CAM2_MNT_INST,90,0,717,1,0
CAM2_HFOV,90,0,781,4,0
CAM2_VFOV,90,0,845,4,0
ARMING_ACCTHRESH,91,0,192,4,0.75
ARMING_MIS_ITEMS,91,0,448,3,0
ARMING_OPTIONS,91,0,576,3,0
ARMING_MAGTHRESH,91,0,640,2,100
ARMING_SKIPCHK,91,0,832,3,0
RELAY1_FUNCTION,92,0,71,1,0
RELAY1_PIN,92,0,135,2,-1
RELAY1_DEFAULT,92,0,199,1,0
RELAY1_INVERTED,92,0,263,1,0
RELAY2_FUNCTION,92,0,72,1,0
RELAY2_PIN,92,0,136,2,-1
RELAY2_DEFAULT,92,0,200,1,0
RELAY2_INVERTED,92,0,264,1,0
RELAY3_FUNCTION,92,0,73,1,0
RELAY3_PIN,92,0,137,2,-1
RELAY3_DEFAULT,92,0,201,1,0
RELAY3_INVERTED,92,0,265,1,0
RELAY4_FUNCTION,92,0,74,1,0
RELAY4_PIN,92,0,138,2,-1
RELAY4_DEFAULT,92,0,202,1,0
RELAY4_INVERTED,92,0,266,1,0
RELAY5_FUNCTION,92,0,75,1,0
RELAY5_PIN,92,0,139,2,-1
RELAY5_DEFAULT,92,0,203,1,0
RELAY5_INVERTED,92,0,267,1,0
RELAY6_FUNCTION,92,0,76,1,0
RELAY6_PIN,92,0,140,2,-1
RELAY6_DEFAULT,92,0,204,1,0
RELAY6_INVERTED,92,0,268,1,0
CHUTE_ENABLED,93,0,0,1,0
CHUTE_TYPE,93,0,1,1,0
CHUTE_SERVO_ON,93,0,2,2,1300
CHUTE_SERVO_OFF,93,0,3,2,1100
CHUTE_ALT_MIN,93,0,4,2,10
CHUTE_DELAY_MS,93,0,5,2,500
CHUTE_CRT_SINK,93,0,6,4,0
CHUTE_OPTIONS,93,0,7,3,0
RNGFND1_TYPE,94,0,89,1,0
RNGFND1_PIN,94,0,153,1,-1
RNGFND1_SCALING,94,0,217,4,3
RNGFND1_OFFSET,94,0,281,4,0
RNGFND1_FUNCTION,94,0,345,1,0
RNGFND1_MIN,94,0,409,4,0.200000003
RNGFND1_MAX,94,0,473,4,7
RNGFND1_STOP_PIN,94,0,537,1,-1
RNGFND1_RMETRIC,94,0,665,1,1
RNGFND1_PWRRNG,94,0,729,2,0
RNGFND1_GNDCLR,94,0,793,4,0.100000001
RNGFND1_ADDR,94,0,1497,1,0
RNGFND1_POS_X,94,0,3161,5,0
RNGFND1_POS_X,94,1,3161,4,0
RNGFND1_POS_Y,94,2,3161,4,0
RNGFND1_POS_Z,94,3,3161,4,0
RNGFND1_ORIENT,94,0,3417,1,25
RNGFND2_TYPE,94,0,91,1,0
RNGFND2_PIN,94,0,155,1,-1
RNGFND2_SCALING,94,0,219,4,3
RNGFND2_OFFSET,94,0,283,4,0
RNGFND2_FUNCTION,94,0,347,1,0
RNGFND2_MIN,94,0,411,4,0.200000003
RNGFND2_MAX,94,0,475,4,7
RNGFND2_STOP_PIN,94,0,539,1,-1
RNGFND2_RMETRIC,94,0,667,1,1
RNGFND2_PWRRNG,94,0,731,2,0
RNGFND2_GNDCLR,94,0,795,4,0.100000001
RNGFND2_ADDR,94,0,1499,1,0
RNGFND2_POS_X,94,0,3163,5,0
RNGFND2_POS_X,94,1,3163,4,0
RNGFND2_POS_Y,94,2,3163,4,0
RNGFND2_POS_Z,94,3,3163,4,0
RNGFND2_ORIENT,94,0,3419,1,25
RNGFND3_TYPE,94,0,93,1,0
RNGFND3_PIN,94,0,157,1,-1
RNGFND3_SCALING,94,0,221,4,3
RNGFND3_OFFSET,94,0,285,4,0
RNGFND3_FUNCTION,94,0,349,1,0
RNGFND3_MIN,94,0,413,4,0.200000003
RNGFND3_MAX,94,0,477,4,7
RNGFND3_STOP_PIN,94,0,541,1,-1
RNGFND3_RMETRIC,94,0,669,1,1
RNGFND3_PWRRNG,94,0,733,2,0
RNGFND3_GNDCLR,94,0,797,4,0.100000001
RNGFND3_ADDR,94,0,1501,1,0
RNGFND3_POS_X,94,0,3165,5,0
RNGFND3_POS_X,94,1,3165,4,0
RNGFND3_POS_Y,94,2,3165,4,0
RNGFND3_POS_Z,94,3,3165,4,0
RNGFND3_ORIENT,94,0,3421,1,25
RNGFND4_TYPE,94,0,95,1,0
RNGFND4_PIN,94,0,159,1,-1
RNGFND4_SCALING,94,0,223,4,3
RNGFND4_OFFSET,94,0,287,4,0
RNGFND4_FUNCTION,94,0,351,1,0
RNGFND4_MIN,94,0,415,4,0.200000003
RNGFND4_MAX,94,0,479,4,7
RNGFND4_STOP_PIN,94,0,543,1,-1
RNGFND4_RMETRIC,94,0,671,1,1
RNGFND4_PWRRNG,94,0,735,2,0
RNGFND4_GNDCLR,94,0,799,4,0.100000001
RNGFND4_ADDR,94,0,1503,1,0
RNGFND4_POS_X,94,0,3167,5,0
RNGFND4_POS_X,94,1,3167,4,0
RNGFND4_POS_Y,94,2,3167,4,0
