#chirp
config,time,output,freq_rads,complete
no_fade,1038174126,1059322999,1087075059,0
no_fade,1039516303,1060120288,1087089374,0
no_fade,1040522936,1060871591,1087103703,0
no_fade,1041194025,1061573792,1087118047,0
no_fade,1041865113,1062223870,1087132408,0
no_fade,1042536202,1062818939,1087146782,0
no_fade,1043207291,1063356512,1087161174,0
no_fade,1043878379,1063834084,1087175579,0
no_fade,1044549468,1064249556,1087190001,0
no_fade,1045220556,1064601015,1087204438,0
no_fade,1045891645,1064886802,1087218891,0
no_fade,1046562734,1065105502,1087233358,0
no_fade,1047233822,1065256036,1087247842,0
no_fade,1047904911,1065337526,1087262341,0
no_fade,1048576000,1065349425,1087276856,0
no_fade,1048911544,1065291455,1087291386,0
no_fade,1049247088,1065163637,1087305932,0
no_fade,1049582633,1064966278,1087320493,0
no_fade,1049918177,1064699951,1087335072,0
no_fade,1050253721,1064365608,1087349664,0
no_fade,1050589266,1063964415,1087364273,0
no_fade,1050924810,1063497849,1087378897,0
no_fade,1051260354,1062967676,1087393537,0
no_fade,1051595899,1062375940,1087408192,0
no_fade,1051931443,1061724954,1087422863,0
no_fade,1052266987,1061017307,1087437550,0
no_fade,1052602532,1060255833,1087452253,0
no_fade,1052938076,1059443619,1087466971,0
no_fade,1053273620,1058583983,1087481706,0
no_fade,1053609164,1057680370,1087496457,0
no_fade,1053944709,1056508841,1087511222,0
no_fade,1054280253,1054548959,1087526005,0
no_fade,1054615797,1052525158,1087540802,0
no_fade,1054951342,1050445571,1087555616,0
no_fade,1055286886,1048062527,1087570446,0
no_fade,1055622430,1043734695,1087585292,0
no_fade,1055957975,1038513117,1087600153,0
no_fade,1056293519,1027539307,1087615030,0
no_fade,1056629063,3164604308,1087629923,0
no_fade,1056964608,3182395329,1087644833,0
no_fade,1057132380,3189452368,1087659758,0
no_fade,1057300152,3193831397,1087674700,0
no_fade,1057467924,3197105216,1087689657,0
no_fade,1057635696,3199225442,1087704630,0
no_fade,1057803469,3201296888,1087719620,0
no_fade,1057971241,3203309951,1087734626,0
no_fade,1058139013,3204851871,1087749647,0
no_fade,1058306785,3205786422,1087764684,0
no_fade,1058474557,3206678551,1087779739,0
no_fade,1058642329,3207524020,1087794809,0
no_fade,1058810102,3208318883,1087809895,0
no_fade,1058977874,3209059479,1087824998,0
no_fade,1059145646,3209742209,1087840117,0
no_fade,1059313418,3210363801,1087855252,0
no_fade,1059481190,3210921304,1087870404,0
no_fade,1059648962,3211411917,1087885571,0
no_fade,1059816734,3211833201,1087900755,0
no_fade,1059984507,3212183051,1087915955,0
no_fade,1060152279,3212459595,1087931172,0
no_fade,1060320051,3212661343,1087946404,0
no_fade,1060487823,3212787144,1087961653,0
no_fade,1060655595,3212836159,1087976918,0
no_fade,1060823367,3212807919,1087992200,0
no_fade,1060991140,3212702307,1088007498,0
no_fade,1061158912,3212519551,1088022813,0
no_fade,1061326684,3212260269,1088038144,0
no_fade,1061494456,3211925428,1088053491,0
no_fade,1061662228,3211516269,1088068857,0
no_fade,1061830000,3211034588,1088084236,0
no_fade,1061997772,3210482318,1088099633,0
no_fade,1062165545,3209861814,1088115047,0
no_fade,1062333317,3209175837,1088130477,0
no_fade,1062501089,3208427340,1088145925,0
no_fade,1062668861,3207619729,1088161388,0
no_fade,1062836633,3206756555,1088176868,0
no_fade,1063004405,3205841825,1088192364,0
no_fade,1063172178,3204879626,1088207877,0
no_fade,1063339950,3203300494,1088223407,0
no_fade,1063507722,3201213444,1088238953,0
no_fade,1063675494,3199059339,1088254517,0
no_fade,1063843266,3196848529,1088270096,0
no_fade,1064011038,3193122795,1088285693,0
no_fade,1064178811,3188536581,1088301306,0
no_fade,1064346583,3180131356,1088316936,0
no_fade,1064514355,976087995,1088332584,0
no_fade,1064682127,1032833800,1088348246,0
no_fade,1064849899,1041160642,1088363928,0
no_fade,1065017671,1045769808,1088379625,0
no_fade,1065185443,1049445983,1088395339,0
no_fade,1065353216,1051676361,1088411070,0
no_fade,1065437102,1053852723,1088426818,0
no_fade,1065520988,1055964474,1088442582,0
no_fade,1065604874,1057482797,1088458364,0
no_fade,1065688760,1058458306,1088474163,0
no_fade,1065772646,1059386100,1088489979,0
no_fade,1065856532,1060261345,1088505811,0
no_fade,1065940418,1061079625,1088521661,0
no_fade,1066024304,1061836685,1088537527,0
no_fade,1066108191,1062528559,1088553411,0
no_fade,1066192077,1063151569,1088569312,0
no_fade,1066275963,1063702380,1088585231,0
no_fade,1066359849,1064177952,1088601165,0
no_fade,1066443735,1064575708,1088617116,0
no_fade,1066527621,1064893417,1088633087,0
