time_us,in_hdem,in_easd,in_stg,in_dbey,in_pmin,in_thnu,in_hafe,in_ldf,in_ptrm,in_vdlpf,in_tasd,in_tasmn,in_tasmx,in_tascr,in_cosr,in_ptchm,in_prop,in_appr,in_flar,in_glid,in_uas,in_lpcd,in_pmne,in_pmxe,in_tmne,in_tmxe,in_pfai,in_h,in_dh,in_sp,in_dsp,out_th,out_ph,out_hdem,out_spdem,out_dhdem,out_dspdem,out_pmin,out_pmax,out_PEW,out_KEW,out_EBD,out_EBE,out_EBDD,out_EBDE,out_EBDDT,out_Imin,out_Imax,out_I,out_KI,out_tmin,out_tmax,out_hdin,out_hdip,out_hrtl,out_hlpf,out_mcs,out_mss,out_crl,out_srl,out_pto,out_tcs,out_scs,out_pdu,out_dt,out_P,out_K,out_Pdem,out_Kdem
37104319,1470,3000,3,0,0,0,17.1066341,1.00000262,0,-0.05376973,30.8856983,10.2952423,30.8856983,22.6495113,0.999999821,-0.0909342468,0.0381139554,0,0,0,1,100,-90,90,0,1,0,17.1066341,-0.706724048,27.5043945,0.257348746,0.712134957,-0.0997978002,14.8039198,28.7943153,-0.0357942581,0.891371191,-0.34906584,0.261799395,1,1,-269.379456,-210.487076,-12.1294975,-15.4877205,-11.1220303,-106.568123,105.274162,-13.1005602,-2.69546986,0,1,14.6999998,14.6999998,14.6999998,14.8039198,1,1,5,5,0,0,0,-0.0997978002,0.0999599993,167.758774,378.24585,145.176865,414.556305
37205112,1470,3000,3,0,0,0,17.0353813,1.00000262,0,-0.0481125005,30.8854446,10.2951612,30.8854446,22.6493263,0.999999404,-0.0859692618,0.0407252945,0,0,0,1,100,-90,90,0,1,0,17.0353813,-0.604320228,27.4712067,0.215764016,0.722177327,-0.108104907,14.8005419,28.8842678,-0.0346399955,0.892448008,-0.34906584,0.261799395,1,1,-272.006714,-210.27356,-12.6863337,-13.1753635,-12.5396252,-105.008514,106.57814,-13.0857725,-3.49812198,0,1,14.6999998,14.6999998,14.6999998,14.8005419,1,1,5,5,0,0,0,-0.108104907,0.100792997,167.060028,377.333588,145.143738,417.150452
37305072,1470,3000,3,0,0,0,16.9779072,1.00000191,0,-0.0426115431,30.8851643,10.2950687,30.8851643,22.6491203,0.999996126,-0.0822885931,0.0433208086,0,0,0,1,100,-90,90,0,1,0,16.9779072,-0.486955881,27.4470196,0.254538924,0.730648041,-0.114272267,14.7972994,28.9735546,-0.0335140228,0.893234491,-0.34906584,0.261799395,1,1,-274.62149,-210.173035,-13.2183514,-12.9313002,-13.3044662,-104.140182,107.260193,-13.0943804,-4.35905743,0,1,14.6999998,14.6999998,14.6999998,14.7972994,1,1,5,5,0,0,0,-0.114272267,0.0999599993,166.496399,376.669434,145.111938,419.733429
37405032,1470,3000,3,0,0,0,16.9286976,1.00000155,0,-0.0356021747,30.8853722,10.2951336,30.8853722,22.6492729,0.999994099,-0.081344761,0.0459137931,0,0,0,1,100,-90,90,0,1,0,16.9286976,-0.423359752,27.4310951,0.364271075,0.737604022,-0.117606841,14.7941618,29.0628948,-0.0324331932,0.893753052,-0.34906584,0.261799395,1,1,-277.244751,-210.218674,-13.7232761,-15.1207027,-13.3040485,-104.072456,107.205254,-13.052474,-5.28055763,0,1,14.6999998,14.6999998,14.6999998,14.7941618,1,1,5,5,0,0,0,-0.117606841,0.0999599993,166.013809,376.232483,145.081177,422.325928
37504992,1470,3000,3,0,0,0,16.8823795,1.00000155,0,-0.0264246948,30.8854332,10.2951517,30.8854332,22.6493168,0.99999398,-0.0838486254,0.0485028513,0,0,0,1,100,-90,90,0,1,0,16.8823795,-0.449208528,27.4260654,0.480039895,0.743472934,-0.119445324,14.7911253,29.1522503,-0.0313873291,0.893916965,-0.34906584,0.261799395,1,1,-279.875458,-210.534958,-14.1759043,-18.2955627,-12.9400063,-104.414978,106.82399,-12.9289341,-6.25681305,0,1,14.6999998,14.6999998,14.6999998,14.7911253,1,1,5,5,0,0,0,-0.119445324,0.0999599993,165.559586,376.094543,145.051392,424.926849
37604952,1470,3000,3,0,0,0,16.828352,1.0000006,0,-0.0140068736,30.884903,10.2949753,30.884903,22.6489296,0.999995172,-0.09020482,0.0510879532,0,0,0,1,100,-90,90,0,1,0,16.828352,-0.585991561,27.4439888,0.680320621,0.747528613,-0.116262197,14.7881861,29.2415485,-0.0303751621,0.893333137,-0.34906584,0.261799395,1,1,-282.511536,-211.556519,-14.4888821,-24.8017292,-11.3950281,-106.036652,105.340378,-12.6196728,-7.27536201,0,1,14.6999998,14.6999998,14.6999998,14.7881861,1,1,5,5,0,0,0,-0.116262197,0.0999599993,165.029755,376.586273,145.022568,427.534088
37704912,1470,3000,3,0,0,0,16.7533989,1.00000083,0,0.00151829224,30.8849392,10.2949829,30.8849392,22.6489563,0.999994397,-0.0969409272,0.0536690913,0,0,0,1,100,-90,90,0,1,0,16.7533989,-0.770508528,27.4773312,0.826543629,0.751863301,-0.113166161,14.7853422,29.3307381,-0.029395422,0.892249107,-0.34906584,0.261799395,1,1,-285.151428,-213.207138,-14.6771288,-30.2256012,-10.0125866,-107.56176,104.072067,-12.1534052,-8.32782555,0,1,14.6999998,14.6999998,14.6999998,14.7853422,1,1,5,5,0,0,0,-0.113166161,0.0999599993,164.294724,377.501862,144.994675,430.146088
37804872,1470,3000,3,0,0,0,16.6603336,1.00000083,0,0.0186724178,30.8853188,10.2951097,30.8853188,22.6492329,0.99999702,-0.102733433,0.0562356003,0,0,0,1,100,-90,90,0,1,0,16.6603336,-0.947857916,27.5251808,0.876993954,0.757108867,-0.112304531,14.7825899,29.4197731,-0.0284474697,0.890698016,-0.34906584,0.261799395,1,1,-287.793854,-215.435715,-14.7506027,-32.9207687,-9.29955292,-108.479538,103.522827,-11.6085186,-9.40626907,0,1,14.6999998,14.6999998,14.6999998,14.7825899,1,1,5,5,0,0,0,-0.112304531,0.0999599993,163.382065,378.81778,144.967682,432.761536
37904832,1470,3000,3,0,0,0,16.5534954,1.0000006,0,0.0363255478,30.8849716,10.2949944,30.8849716,22.6489792,0.999998927,-0.105838276,0.0587987341,0,0,0,1,100,-90,90,0,1,0,16.5534954,-1.06580472,27.5796528,0.936717212,0.763276637,-0.11130394,14.7799263,29.5086308,-0.027530035,0.888938844,-0.34906584,0.261799395,1,1,-290.438049,-217.984299,-14.7607279,-35.284462,-8.60360718,-109.408577,103.013359,-10.9930525,-10.5070486,0,1,14.6999998,14.6999998,14.6999998,14.7799263,1,1,5,5,0,0,0,-0.11130394,0.0999599993,162.334335,380.318634,144.941574,435.379639
38004792,1470,3000,3,0,0,0,16.4397202,1.0000006,0,0.0532246456,30.8848209,10.2949438,30.8848209,22.6488686,0.999997556,-0.106314473,0.0613587014,0,0,0,1,100,-90,90,0,1,0,16.4397202,-1.10364234,27.634901,0.861670613,0.77124536,-0.115496784,14.7773485,29.597311,-0.0266421642,0.887161672,-0.34906584,0.261799395,1,1,-293.084106,-220.62529,-14.7530336,-33.16436,-9.22963524,-109.018944,103.828506,-10.4409332,-11.6297302,0,1,14.6999998,14.6999998,14.6999998,14.7773485,1,1,5,5,0,0,0,-0.115496784,0.0999599993,161.218582,381.843872,144.91629,438.000397
